City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Lhanbryde,GB,41.11,broken clouds,57.6167,-3.2167,The Barley Mill
485,Meulaboh,ID,77.31,overcast clouds,4.1363,96.1285,Kost Pria
487,Coruripe,BR,85.28,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
488,Ketrzyn,PL,34.7,overcast clouds,54.0768,21.3753,KOCH
489,Quelimane,MZ,74.07,light rain,-17.8786,36.8883,Hotel Flamingo
490,Praia Da Vitoria,PT,63.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
491,Rosario,AR,91.94,scattered clouds,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
492,Phalodi,IN,67.39,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
495,Bartica,GY,82.72,scattered clouds,6.4,-58.6167,Sloth Island Nature Resort
496,Laon,FR,41.25,overcast clouds,49.5667,3.6667,ibis Laon
497,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
498,Colares,PT,56.39,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
499,San Carlos De Bariloche,AR,60.55,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
500,Malakal,SS,76.64,scattered clouds,9.5334,31.6605,Nile Palace Hotel
501,Coro,VE,85.89,clear sky,11.4045,-69.6734,Federal
502,Bereda,ES,46.15,few clouds,43.2686,-7.5406,Pazo de Verdes
503,Narasapur,IN,67.44,light rain,16.45,81.6667,TCI Xps
504,Ugoofaaru,MV,81.32,broken clouds,5.6667,73.0,Ungoofaaru Inn
505,Upata,VE,88.0,few clouds,8.0086,-62.3989,Posada Villa Nela
507,Isla Mujeres,MX,78.85,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
508,Houma,US,73.4,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
509,Bahia Blanca,AR,74.64,light rain,-38.7196,-62.2724,Hotel Argos
510,Abdanan,IR,42.15,broken clouds,32.9926,47.4198,خدمات موبایل میرزایی
511,Skeldon,GY,80.6,scattered clouds,5.8833,-57.1333,Classic International Hotel & Suites
514,Marrakesh,MA,66.27,few clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
515,Asaba,NG,83.59,overcast clouds,6.2006,6.7338,Crimson Suite Hotels
516,Lamu,KE,80.82,scattered clouds,-2.2717,40.902,Lamu House
517,Vestmannaeyjar,IS,31.19,clear sky,63.4427,-20.2734,Glamping & Camping
519,Bida,NG,84.04,few clouds,9.0833,6.0167,Royal Suite
521,Hamburg,DE,41.29,broken clouds,53.55,10.0,IntercityHotel Hamburg Hauptbahnhof
522,Oxapampa,PE,69.48,light rain,-10.5775,-75.4017,Hotel Heidinger
523,Kulhudhuffushi,MV,81.18,broken clouds,6.6221,73.07,Haajy Guest House 1
524,Chimoio,MZ,73.26,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
525,Bay Roberts,CA,32.32,overcast clouds,47.5999,-53.2648,Stonewall Inn
526,Bulle,CH,37.9,broken clouds,46.6195,7.0567,Hotel ibis Bulle la Gruyere
527,Brigantine,US,51.85,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
528,Gweta,BW,83.73,broken clouds,-20.1833,25.2333,Gweta Lodge
530,Kalmar,SE,39.15,overcast clouds,56.6616,16.3616,First Hotel Witt
532,Bardsir,IR,41.05,clear sky,29.9227,56.5743,هتل سجاد
535,Bayir,TR,32.52,clear sky,37.2687,28.2167,Hotel Babadag
536,Gat,IL,50.68,overcast clouds,31.61,34.7642,OlusHome
537,Arica,CL,81.95,scattered clouds,-18.475,-70.3042,Hostal Jardin Del Sol
538,Najran,SA,65.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
539,Manono,CD,68.79,overcast clouds,-7.3,27.4167,Hotel hewa bora
540,Harboore,DK,39.97,broken clouds,56.6175,8.1807,Harboøre Hotel
541,Polyarnyye Zori,RU,32.94,light snow,67.3661,32.4981,Khostiel
542,Carutapera,BR,83.41,broken clouds,-1.195,-46.02,Lidera
543,Jablonne Nad Orlici,CZ,31.08,overcast clouds,50.0296,16.6006,Hotel Filipinum
544,Kitgum,UG,78.66,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
545,Yarmouth,US,46.96,few clouds,41.7057,-70.2286,Blue Rock Resort
546,Namanga,KE,67.82,light rain,-2.5433,36.7905,Hillsgate Home
