City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,San Clemente,US,33.427,-117.612,63.28,79,3,3.0,clear sky
188,Sao Filipe,CV,14.8961,-24.4956,74.41,76,68,10.22,broken clouds
189,Bulaevo,KZ,54.9056,70.4439,4.91,95,32,8.43,scattered clouds
190,Saint-Louis,SN,16.3333,-15.0,91.63,8,0,12.75,clear sky
191,George,ZA,-33.963,22.4617,66.88,75,3,9.46,clear sky
192,Bonanza,NI,14.0289,-84.591,78.67,69,81,5.21,broken clouds
193,Vila Velha,BR,-20.3297,-40.2925,87.75,60,20,11.01,few clouds
194,Jega,NG,12.2175,4.3792,72.95,17,10,9.57,clear sky
195,Luderitz,NA,-26.6481,15.1594,73.83,69,96,10.76,overcast clouds
196,Buraydah,SA,26.326,43.975,55.71,46,0,1.99,clear sky
197,Bad Sachsa,DE,51.595,10.5555,37.33,90,100,1.01,overcast clouds
198,Canakkale,TR,40.0833,26.8333,25.41,57,3,3.13,clear sky
199,Alta Floresta,BR,-9.8756,-56.0861,80.85,76,92,0.94,overcast clouds
200,Iralaya,HN,15.0,-83.2333,81.19,69,6,12.88,clear sky
201,Kavaratti,IN,10.5669,72.642,81.36,66,68,7.47,broken clouds
202,Sarkand,KZ,45.41,79.9186,27.27,94,100,3.56,overcast clouds
203,Tsabong,BW,-26.0217,22.401,80.01,46,85,7.63,overcast clouds
204,Paoua,CF,7.2427,16.4406,73.71,20,31,5.06,scattered clouds
205,Coihaique,CL,-45.5752,-72.0662,78.91,19,0,11.5,clear sky
206,Avezzano,IT,42.0402,13.4388,41.81,87,2,3.33,clear sky
207,Formosa,AR,-26.1775,-58.1781,105.78,27,75,8.05,broken clouds
208,Vendome,FR,47.8,1.0667,41.47,95,100,8.99,overcast clouds
209,Grand-Lahou,CI,5.1367,-5.0242,81.37,74,55,9.82,broken clouds
210,Atuntaqui,EC,0.3333,-78.2167,76.82,75,100,6.67,overcast clouds
211,Ust-Tsilma,RU,65.441,52.1498,16.52,87,100,12.28,overcast clouds
212,Puri,IN,19.8,85.85,63.12,61,2,2.42,clear sky
213,Bati,ET,11.1833,40.0167,65.19,66,83,4.03,broken clouds
214,Mumbwa,ZM,-14.9783,27.0619,64.85,97,98,2.26,moderate rain
215,Salta,AR,-24.7859,-65.4117,76.57,68,100,8.01,overcast clouds
216,Muisne,EC,0.6,-80.0333,79.11,84,98,7.45,light rain
217,Sinnamary,GF,5.3833,-52.95,75.56,93,92,9.84,overcast clouds
218,San Cristobal,VE,7.7669,-72.225,77.18,51,48,7.29,scattered clouds
219,Pemba,MZ,-12.974,40.5178,75.76,90,100,15.28,light rain
220,Mwense,ZM,-10.3845,28.698,65.26,96,95,3.47,light rain
221,Aksarka,RU,66.5606,67.7975,-11.65,100,94,6.89,overcast clouds
222,Kulachi,PK,31.9286,70.4592,54.72,69,23,2.73,few clouds
223,Nyagan,RU,62.1406,65.3936,13.5,95,63,7.72,broken clouds
224,Belen,TR,36.4891,36.2233,32.14,38,40,18.41,scattered clouds
225,Jaicos,BR,-7.3592,-41.1378,97.72,23,98,5.48,overcast clouds
226,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,103.1,24,61,7.34,broken clouds
227,Paignton,GB,50.4357,-3.5679,47.19,81,24,7.0,few clouds
228,Bongandanga,CD,1.5,21.05,76.21,55,96,1.97,overcast clouds
229,Weligama,LK,5.9667,80.4167,76.69,84,39,2.62,scattered clouds
230,Bengkulu,ID,-3.8004,102.2655,74.48,92,100,15.01,overcast clouds
231,Mangalam,IN,9.7667,78.6667,75.54,71,44,10.22,scattered clouds
232,Lebu,CL,-37.6167,-73.65,61.3,62,1,10.71,clear sky
233,Sumkino,RU,58.1108,68.3244,17.33,97,99,7.25,overcast clouds
234,Maldonado,UY,-34.6667,-54.9167,72.79,87,100,13.76,overcast clouds
235,Great Yarmouth,GB,52.6083,1.7305,43.95,75,59,19.46,broken clouds
236,Ambilobe,MG,-13.2,49.05,74.82,93,76,5.14,moderate rain
237,Alpena,US,45.0617,-83.4327,27.18,59,75,11.01,broken clouds
238,Thompson,CA,55.7435,-97.8558,-9.87,88,12,9.24,few clouds
239,Faya,SA,18.3851,42.4509,54.12,72,3,6.13,clear sky
240,Gidam,IN,18.9833,81.4,61.61,62,11,2.06,few clouds
241,Aswan,EG,24.0934,32.907,54.3,39,0,9.55,clear sky
242,Zambrow,PL,52.9855,22.2432,34.57,96,100,11.27,overcast clouds
243,North Bay,CA,46.3168,-79.4663,32.14,78,96,1.99,overcast clouds
244,Road Town,VG,18.4167,-64.6167,82.49,69,40,11.5,scattered clouds
245,Namibe,AO,-15.1961,12.1522,72.41,74,33,7.92,scattered clouds
246,Verkhniy Avzyan,RU,53.5289,57.5372,4.69,100,100,2.51,overcast clouds
247,Trinidad,BO,-14.8333,-64.9,82.13,82,87,4.0,overcast clouds
248,Saint-Augustin,CA,51.226,-58.6502,3.18,80,98,17.25,overcast clouds
249,Leshukonskoye,RU,64.8989,45.7622,20.82,94,100,12.17,light snow
250,Cockburn Town,TC,21.4612,-71.1419,77.04,77,18,16.96,few clouds
251,Souris,CA,49.6172,-100.2612,-14.26,91,7,11.95,clear sky
252,Blagoyevo,RU,63.3667,47.9167,16.3,81,100,13.24,overcast clouds
253,Guaratinga,BR,-16.5667,-39.5667,83.07,65,33,6.44,scattered clouds
254,Itarema,BR,-2.9248,-39.9167,85.89,63,44,14.18,scattered clouds
255,Maunatlala,BW,-22.597,27.6301,82.13,35,27,8.75,scattered clouds
256,Nuuk,GL,64.1835,-51.7216,35.82,94,100,44.25,moderate rain
257,Saint-Pierre,RE,-21.3393,55.4781,80.24,83,100,4.61,overcast clouds
258,Donskoye,RU,45.4552,41.9741,24.93,91,59,7.99,broken clouds
259,Ouahigouya,BF,13.5828,-2.4216,73.81,10,0,10.54,clear sky
260,Vilhena,BR,-12.7406,-60.1458,82.36,67,77,2.89,broken clouds
261,Marystown,CA,47.1666,-55.1483,28.85,100,97,11.99,overcast clouds
262,Adwa,ET,14.1646,38.8955,63.93,57,88,4.25,overcast clouds
263,Beni Suef,EG,29.0731,31.0979,49.35,47,76,8.46,broken clouds
264,Estelle,US,29.8458,-90.1067,72.0,64,90,7.0,overcast clouds
265,Lapeer,US,43.0514,-83.3188,38.55,64,75,18.41,broken clouds
266,Dwarka,IN,22.2394,68.9678,72.5,66,0,11.23,clear sky
267,Bandarbeyla,SO,9.4942,50.8122,77.58,74,37,16.73,scattered clouds
268,Plouzane,FR,48.3833,-4.6167,50.32,90,75,5.75,broken clouds
269,Tatawin,TN,32.9297,10.4518,51.08,47,0,2.75,clear sky
270,Saint-Georges,GD,12.0564,-61.7485,80.19,66,4,15.82,clear sky
271,Harper,LR,4.375,-7.7169,81.73,74,57,8.46,broken clouds
272,Bathsheba,BB,13.2167,-59.5167,79.56,72,15,17.2,few clouds
273,Aurangabad,IN,19.8833,75.3333,66.9,39,7,2.82,clear sky
274,Tabou,CI,4.423,-7.3528,81.81,74,57,8.46,broken clouds
275,Jijiga,ET,9.35,42.8,63.57,60,54,13.67,broken clouds
276,Calabozo,VE,8.9242,-67.4293,95.22,31,7,10.11,clear sky
277,Bonavista,CA,48.6499,-53.1147,31.12,64,79,22.62,broken clouds
278,Jardinopolis,BR,-21.0178,-47.7639,90.82,35,20,4.61,few clouds
279,Marzuq,YE,14.4,46.4667,66.74,54,39,5.68,scattered clouds
280,Brae,GB,60.3964,-1.353,33.71,76,100,33.11,light snow
281,Mufumbwe,ZM,-13.6833,24.8,62.42,98,100,2.59,overcast clouds
282,Ostrovnoy,RU,68.0531,39.5131,34.34,97,100,14.54,overcast clouds
283,Malpe,IN,13.35,74.7167,78.1,74,22,5.57,few clouds
284,Adrar,MR,20.5022,-10.0711,73.6,10,1,10.83,clear sky
285,Alice Town,BS,25.7167,-79.3,70.65,60,10,12.08,clear sky
286,Malm,NO,64.0721,11.2172,31.78,61,91,18.01,light snow
287,Shubarkuduk,KZ,49.1447,56.4872,0.14,94,96,7.9,overcast clouds
288,Port Shepstone,ZA,-30.7414,30.455,73.31,81,100,5.7,overcast clouds
289,Prainha,BR,-1.8,-53.48,89.82,47,74,7.14,broken clouds
290,Barao De Melgaco,BR,-16.1944,-55.9675,88.32,43,46,1.45,scattered clouds
291,Cozumel,MX,20.5083,-86.9458,80.67,71,75,11.01,broken clouds
292,Koygorodok,RU,60.445,50.9968,0.37,98,79,5.03,broken clouds
293,Tromso,NO,69.6496,18.957,30.22,80,75,17.27,broken clouds
294,Malakwal,PK,32.5536,73.2123,52.45,80,78,3.36,broken clouds
295,Henties Bay,NA,-22.116,14.2845,70.86,84,61,7.43,broken clouds
296,Cardoso,BR,-20.0819,-49.9142,84.67,56,75,9.66,broken clouds
297,Torres,BR,-29.3353,-49.7269,83.52,74,12,10.63,few clouds
298,Usinsk,RU,65.9939,57.5281,7.14,93,99,21.94,overcast clouds
299,Bimbo,CF,4.2567,18.4158,79.75,22,66,2.08,broken clouds
300,Dalbandin,PK,28.8947,64.4101,60.94,67,4,7.78,clear sky
301,Skjervoy,NO,70.0311,20.9714,33.98,53,98,33.42,light snow
302,Mangrol,IN,21.1167,70.1167,71.71,62,3,11.21,clear sky
303,Pisco,PE,-13.7,-76.2167,77.05,73,0,11.5,clear sky
304,Urumqi,CN,43.801,87.6005,11.35,92,37,2.24,mist
305,Kasempa,ZM,-13.4584,25.8338,63.01,98,100,3.65,overcast clouds
